element_index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Building Material_name,Tally material,Weight (kg),Data Source (BEAM Material),life_cycle_stage,scenario,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential
Element_10,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Exterior finish,Brick,"Brick, generic",3115930.0,"Brick, Clay, Generic Modular / 3-5/8"" x 2-3/4"" x 7-5/8"" incl. 3/8"" mortar / Brick Industry Association / [Industry Avg | US-Canada]",A4: Transportation,Regionally-Specific Distances,60806.9278734612,0.0,0.0,0.0,310.503461481504,18.1127019197544,9961.98605586492
Element_11,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Exterior finish,Type N mortar,Mortar type N,5498.7,,A4: Transportation,Regionally-Specific Distances,107.30634330610799,0.0,0.0,0.0,0.5479472849673599,0.031963591623096,17.5799753927028
Element_12,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Wall structure,Oriented strandboard (OSB),"Oriented strandboard (OSB), AWC - EPD",1849.0,"OSB sheathing / 5/8"" / AWC & CWC [Industry Avg | US & CA]",A4: Transportation,Regionally-Specific Distances,104.72571801403998,0.0,0.0,0.0,0.6126308696008,0.036118678333079995,19.923298641564
Element_13,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Wall structure,Light wood framing,"Domestic softwood, US, AWC - EPD",3017.0,Wood / SPF / 2x6 Lumber / AWC & CWC [Industry Avg | US & CA],A4: Transportation,Regionally-Specific Distances,141.78434344417,0.0,0.0,0.0,0.8510507925584,0.050267736509339994,27.741934966347
Element_14,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Insulation,"Expanded polystyrene (EPS), board","Expanded polystyrene (EPS), board",129.0,"EPS foam board / Type II / R 4.0-inch, 15 psi / EPS Industry Alliance [Industry Avg | US & CA]",A4: Transportation,Regionally-Specific Distances,28.518523914554997,0.0,0.0,0.0,0.1456265050956,0.00849487946391,4.6721837051505
Element_15,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Insulation,"Fiberglass blanket insulation, paper faced","Fiberglass blanket insulation, paper faced",236.0,Fiberglass batt / NAIMA / R 4.4-inch [Industry Avg | N.America],A4: Transportation,Regionally-Specific Distances,4.60550621424,0.0,0.0,0.0,0.0235174785408,0.00137185291488,0.754519103184
Element_16,Residential,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO11,Brick: wood framing,Interior finish,Gypsum wall board,"Wall board, gypsum, natural",1540.0,"Drywall 1/2"" [BEAM Avg | US & CA]",A4: Transportation,Regionally-Specific Distances,30.0528795336,0.0,0.0,0.0,0.15346151251200002,0.0089519215632,4.923556859760001
Element_17,Residential,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT3,Glazing: operable window,Glazing,Double pane IGU,"Glazing, double, insulated (air)",500.0,Window - double-glazed / Vinyl frame / BfCA Study [US & CA],A4: Transportation,Regionally-Specific Distances,79.98822135,0.0,0.0,0.0,0.408450492,0.023826278699999995,13.104453285
Element_18,Residential,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT3,Glazing: operable window,Glazing,"Window frame, vinyl, fixed","Window frame, vinyl, fixed",66.0,Window - double-glazed / Vinyl frame / BfCA Study [US & CA],A4: Transportation,Regionally-Specific Distances,3.7141764739200003,0.0,0.0,0.0,0.0189660075264,0.0011063504390400002,0.608492741472
Element_19,Residential,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR2,Asphalt shingle roofing,Waterproofing system,SBS modified asphalt shingles,"SBS modified asphalt, strip, ARMA - EPD",1441.0,Asphalt Shingles / Asphalt Roofing Manufacturers Association / Fiberglass Asphalt Shingles [Industry Avg | US & CA],A4: Transportation,Regionally-Specific Distances,28.120908706440005,0.0,0.0,0.0,0.14359612956480003,0.00837644089128,4.607042490204
Element_20,Residential,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR2,Asphalt shingle roofing,Waterproofing system,"Self-adhering, polymer-modified asphalt sheet underlayment","Self-adhering, polymer-modified asphalt sheet underlayment",26.0,Ceiling Sheet Barrier / [BEAM Avg],A4: Transportation,Regionally-Specific Distances,0.50738627784,0.0,0.0,0.0,0.0025909086527999997,0.00015113633808,0.083124985944
Element_21,Residential,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR2,Asphalt shingle roofing,Insulation,"Fiberglass blanket insulation, paper faced","Fiberglass blanket insulation, paper faced",750.0,Fiberglass loose fill / NAIMA / R 2.2-inch [Industry Avg | N.America],A4: Transportation,Regionally-Specific Distances,14.636142630000002,0.0,0.0,0.0,0.0747377496,0.00435970206,2.397836133
