element_index,prebuilt_scenario,Revit model,Revit category,Revit type,Revit family name,Revit material name,Revit building element,Cumulative material volume (m3),Tally Entry Division,Tally Entry Category,Tally Entry Name,Material Group,Material Name,Life Cycle Stage,Service Life,Acidification Potential Total (kgSO2eq),Eutrophication Potential Total (kgNeq),Global Warming Potential Total (kgCO2eq),Ozone Depletion Potential Total (CFC-11eq),Smog Formation Potential Total (kgO3eq),Primary Energy Demand Total (MJ),Non-renewable Energy Demand Total (MJ),Renewable Energy Demand Total (MJ),Mass Total (kg)
Element_15,domestic_supply_chain,tm_1,Structural Columns,FamilyInstance,Glulam-Western Species-Column: 18x18,"Softwood, Lumber",Superstructure,77.95539377,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[A4] Transportation,60,3.696499613,0.300979811,797.7426038,2.73E-11,122.1452046,11600.87231,11323.26956,280.5248718,
Element_16,domestic_supply_chain,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[A4] Transportation,60,0.800781086,0.065201939,172.8167876,5.92E-12,26.4605924,2513.123249,2452.985539,60.77073851,
Element_17,domestic_supply_chain,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[A4] Transportation,60,0.207497063,0.016895018,44.77999842,1.53E-12,6.856424666,651.196314,635.6135307,15.74681264,
Element_18,domestic_supply_chain,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 84 x 84 x 24,"Concrete, Cast-in-Place gray",Substructure,55.50101932,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[A4] Transportation,60,0.56054676,0.045641357,120.9717514,4.14E-12,18.52241468,1759.186274,1717.089878,42.53951696,
Element_19,domestic_supply_chain,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 84 x 84 x 24,"Concrete, Cast-in-Place gray",Substructure,55.50101932,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[A4] Transportation,60,0.145247944,0.011826512,31.34599889,1.07E-12,4.799497267,455.8374198,444.9294715,11.02276884,
Element_20,domestic_supply_chain,tm_1,Structural Framing,FamilyInstance,Glulam-Southern Pine: 10.75x31.5,"Softwood, Lumber",Superstructure,495.8232367,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[A4] Transportation,60,23.51101462,1.914335578,5073.918569,1.74E-10,776.8857008,73785.55575,72019.90643,1784.235101,
Element_21,domestic_supply_chain,tm_1,Structural Framing,FamilyInstance,Glulam-Southern Pine: 14.25x33,"Softwood, Lumber",Superstructure,210.3742599,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[A4] Transportation,60,9.975555668,0.81223892,2152.827429,7.37E-11,329.6270569,31306.68459,30557.53219,757.0382168,
Element_22,domestic_supply_chain,tm_1,Walls,Wall,Concrete - 16,"Concrete, Cast-in-Place gray",Enclosure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 6000 psi",Concrete,"Structural concrete, 6000 psi, Pacific Southwest regional average",[A4] Transportation,60,2.975848492,0.242302289,642.2186863,2.20E-11,98.33238495,9339.224123,9115.741425,225.8351424,
Element_23,domestic_supply_chain,tm_1,Walls,Wall,Concrete - 16,"Concrete, Cast-in-Place gray",Enclosure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 6000 psi",Metal,"Steel, reinforcing rod",[A4] Transportation,60,6.335698549,0.515871107,1367.308857,4.68E-11,209.3535173,19883.57568,19407.77223,480.8119057,
Element_24,domestic_supply_chain,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Aluminum, sheet",[A4] Transportation,60,0.370845368,0.030195314,80.03224148,2.74E-12,12.25402085,1163.838823,1135.988776,28.14320579,
Element_25,domestic_supply_chain,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal Coating,"Powder coating, metal stock",[A4] Transportation,60,0,0,0,0,0,0,0,0,
Element_26,domestic_supply_chain,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Insulation,Polyurethane foam (PUR) rigid board,[A4] Transportation,60,0.563656484,0.04589456,121.6428617,4.16E-12,18.62517077,1768.945645,1726.615711,42.77551181,
Element_27,domestic_supply_chain,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Steel, sheet",[A4] Transportation,60,0.504265178,0.041058746,108.8256074,3.73E-12,16.66267543,1582.555537,1544.68582,38.26834547,
Element_28,domestic_supply_chain,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Fasteners, stainless steel",[A4] Transportation,60,0.313506935,0.025526651,67.65801829,2.32E-12,10.35935958,983.891328,960.3473295,23.79183061,
Element_29,domestic_supply_chain,tm_1,Walls,Wall,Generic - 5,Gypsum Sheathing,Enclosure,0,09 - Finishes,Plaster and gypsum board,Fiberglass mat gypsum sheathing,Plaster,Fiberglass mat gypsum sheathing board,[A4] Transportation,60,0.599908375,0.048846295,129.4663923,4.43E-12,19.82305933,1882.716401,1837.663993,45.52664344,
Element_30,domestic_supply_chain,tm_1,Walls,Wall,Generic - 5,Metal Studs with Insulation,Enclosure,0,05 - Metals,Steel,"Steel, C-stud metal framing with insulation",Metal,Cold formed structural steel,[A4] Transportation,60,0.583537882,0.047513361,125.9334717,4.31E-12,19.28212131,1831.34023,1787.517227,44.28429774,
Element_31,domestic_supply_chain,tm_1,Walls,Wall,Generic - 5,Metal Studs with Insulation,Enclosure,0,05 - Metals,Steel,"Steel, C-stud metal framing with insulation",Insulation,"Cellulose insulation, boards",[A4] Transportation,60,2.950626704,0.240248657,636.7755655,2.18E-11,97.49896935,9260.06958,9038.481015,223.921078,
Element_32,domestic_supply_chain,tm_1,Walls,Wall,Generic - 5,Gypsum Wall Board,Enclosure,0,09 - Finishes,Plaster and gypsum board,"Wall board, gypsum",Plaster,"Wall board, gypsum, natural",[A4] Transportation,30,0.621945825,0.050640648,134.2223006,4.60E-12,20.55125335,1951.877411,1905.170017,47.19905075,
Element_33,domestic_supply_chain,tm_1,Walls,Wall,Generic - 5,Gypsum Wall Board,Enclosure,0,09 - Finishes,Plaster and gypsum board,"Wall board, gypsum",Coating,"Paint, interior acrylic latex",[A4] Transportation,7,0.044623257,0.003633356,9.630157508,3.30E-13,1.474507634,140.0429498,136.6917962,3.386429015,
Element_0,global_supply_chain,tm_1,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[A4] Transportation,60,0.46495471,0.037857973,100.3420046,3.44E-12,15.36372085,1459.185928,1424.26838,35.28510053,
Element_1,global_supply_chain,tm_1,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal Coating,"Powder coating, metal stock",[A4] Transportation,60,0,0,0,0,0,0,0,0,
Element_2,global_supply_chain,tm_1,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,23.79873641,08 - Openings and Glazing,Glass,"Glazing, double pane IGU",Glazing,"Glazing, double, insulated (air)",[A4] Transportation,40,5.960632458,0.485332129,1286.36574,4.40E-11,196.960029,18706.4908,18258.85436,452.348392,
Element_3,global_supply_chain,tm_1,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[A4] Transportation,60,5.804929849,0.472654368,1252.763516,4.29E-11,191.8150733,18217.84309,17781.89974,440.5322256,
Element_4,global_supply_chain,tm_1,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[A4] Transportation,60,1.704903318,0.138818215,367.9356566,1.26E-11,56.33593571,5350.566143,5222.529925,129.3839671,
Element_5,global_supply_chain,tm_1,Floors,Floor,CLT,Wood - Stained,Superstructure,0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[A4] Transportation,60,63.53346939,5.173080906,13711.1756,4.70E-10,2099.366814,199389.6233,194618.3351,4821.512301,
Element_6,global_supply_chain,tm_1,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Roofing membrane,"PVC membrane, sheet",[A4] Transportation,20,0.926903544,0.075471198,200.0353101,6.85E-12,30.62811709,2908.938394,2839.329036,70.34208709,
Element_7,global_supply_chain,tm_1,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[A4] Transportation,20,0.032534143,0.002649025,7.021202178,2.40E-13,1.075041213,102.1031965,99.65992101,2.468994173,
Element_8,global_supply_chain,tm_1,Floors,Floor,CLT Roof,Insulation - Roof,Superstructure,0,07 - Thermal and Moisture Protection,Insulation,"Polyisocyanurate (PIR), board",Insulation,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",[A4] Transportation,60,0.481969011,0.039243326,104.0138657,3.56E-12,15.92593254,1512.582589,1476.387288,36.5763044,
Element_9,global_supply_chain,tm_1,Floors,Floor,CLT Roof,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[A4] Transportation,60,1.451232463,0.118163591,313.1908793,1.07E-11,47.95376831,4554.460771,4445.474934,110.1330564,
Element_10,global_supply_chain,tm_1,Floors,Floor,CLT Roof,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[A4] Transportation,60,0.42622583,0.034704554,91.98391416,3.15E-12,14.08398393,1337.641536,1305.632481,32.3459918,
Element_11,global_supply_chain,tm_1,Floors,Floor,CLT Roof,Wood - Stained,Superstructure,0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[A4] Transportation,60,15.88336735,1.293270226,3427.793901,1.17E-10,524.8417036,49847.40583,48654.58376,1205.378075,
Element_12,global_supply_chain,tm_1,Floors,Floor,SOG Floor,"Concrete, Cast-in-Place gray",Substructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[A4] Transportation,60,2.68118667,0.218310061,578.6276373,1.99E-11,88.59573346,8414.475164,8213.121224,203.4734549,
Element_13,global_supply_chain,tm_1,Floors,Floor,SOG Floor,"Concrete, Cast-in-Place gray",Substructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[A4] Transportation,60,0.943115833,0.07679125,203.5340888,6.98E-12,31.16382751,2959.818068,2888.991188,71.57242684,
Element_14,global_supply_chain,tm_1,Floors,Floor,SOG Floor Insulation,Rigid insulation,Substructure,0,07 - Thermal and Moisture Protection,Insulation,"Expanded polystyrene (EPS), board",Insulation,"Expanded polystyrene (EPS), board",[A4] Transportation,60,0.065888226,0.005364813,14.21935639,4.88E-13,2.17717618,206.7796516,201.8315239,5.000213238,
Element_15,global_supply_chain,tm_1,Structural Columns,FamilyInstance,Glulam-Western Species-Column: 18x18,"Softwood, Lumber",Superstructure,77.95539377,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[A4] Transportation,60,6.160832688,0.501633018,1329.571006,4.55E-11,203.575341,19334.78718,18872.11594,467.541453,
Element_16,global_supply_chain,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[A4] Transportation,60,1.334635143,0.108669898,288.0279794,9.86E-12,44.10098733,4188.538748,4088.309231,101.2845642,
Element_17,global_supply_chain,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 35' x 20' x 24,"Concrete, Cast-in-Place gray",Substructure,79.28717046,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[A4] Transportation,60,0.345828438,0.028158363,74.6333307,2.55E-12,11.42737444,1085.32719,1059.355885,26.24468773,
Element_18,global_supply_chain,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 84 x 84 x 24,"Concrete, Cast-in-Place gray",Substructure,55.50101932,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Concrete,"Structural concrete, 4000 psi, 20% fly ash",[A4] Transportation,60,0.9342446,0.076068928,201.6195856,6.90E-12,30.87069113,2931.977124,2861.816463,70.89919493,
Element_19,global_supply_chain,tm_1,Structural Foundations,FamilyInstance,Footing-Rectangular: 84 x 84 x 24,"Concrete, Cast-in-Place gray",Substructure,55.50101932,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 4000 psi",Metal,"Steel, reinforcing rod",[A4] Transportation,60,0.242079906,0.019710854,52.24333149,1.79E-12,7.999162111,759.729033,741.5491191,18.3712814,
Element_20,global_supply_chain,tm_1,Structural Framing,FamilyInstance,Glulam-Southern Pine: 10.75x31.5,"Softwood, Lumber",Superstructure,495.8232367,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[A4] Transportation,60,39.18502436,3.190559296,8456.530949,2.90E-10,1294.809501,122975.9263,120033.1774,2973.725169,
Element_21,global_supply_chain,tm_1,Structural Framing,FamilyInstance,Glulam-Southern Pine: 14.25x33,"Softwood, Lumber",Superstructure,210.3742599,06 - Wood/Plastics/Composites,Engineered Wood,Glue laminated timber (Glulam),Wood,"Glue laminated timber (Glulam), AWC - EPD",[A4] Transportation,60,16.62592611,1.353731534,3588.045715,1.23E-10,549.3784281,52177.80765,50929.22031,1261.730361,
Element_22,global_supply_chain,tm_1,Walls,Wall,Concrete - 16,"Concrete, Cast-in-Place gray",Enclosure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 6000 psi",Concrete,"Structural concrete, 6000 psi, Pacific Southwest regional average",[A4] Transportation,60,4.959747486,0.403837148,1070.364477,3.66E-11,163.8873083,15565.37354,15192.90238,376.391904,
Element_23,global_supply_chain,tm_1,Walls,Wall,Concrete - 16,"Concrete, Cast-in-Place gray",Enclosure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, structural concrete, 6000 psi",Metal,"Steel, reinforcing rod",[A4] Transportation,60,10.55949758,0.859785179,2278.848095,7.80E-11,348.9225288,33139.2928,32346.28705,801.3531761,
Element_24,global_supply_chain,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Aluminum, sheet",[A4] Transportation,60,0.618075614,0.050325524,133.3870691,4.56E-12,20.42336809,1939.731371,1893.314626,46.90534299,
Element_25,global_supply_chain,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal Coating,"Powder coating, metal stock",[A4] Transportation,60,0,0,0,0,0,0,0,0,
Element_26,global_supply_chain,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Insulation,Polyurethane foam (PUR) rigid board,[A4] Transportation,60,0.939427473,0.076490933,202.7381029,6.94E-12,31.04195128,2948.242741,2877.692851,71.29251968,
Element_27,global_supply_chain,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Steel, sheet",[A4] Transportation,60,0.840441963,0.068431243,181.3760124,6.21E-12,27.77112571,2637.592561,2574.476366,63.78057579,
Element_28,global_supply_chain,tm_1,Walls,Wall,Generic - 5,Insulated Metal Panel,Enclosure,0,07 - Thermal and Moisture Protection,Cladding,"Insulated metal wall panel, custom",Metal,"Fasteners, stainless steel",[A4] Transportation,60,0.522511558,0.042544419,112.7633638,3.86E-12,17.2655993,1639.81888,1600.578883,39.65305101,
Element_29,global_supply_chain,tm_1,Walls,Wall,Generic - 5,Gypsum Sheathing,Enclosure,0,09 - Finishes,Plaster and gypsum board,Fiberglass mat gypsum sheathing,Plaster,Fiberglass mat gypsum sheathing board,[A4] Transportation,60,0.999847291,0.081410491,215.7773205,7.39E-12,33.03843221,3137.860668,3062.773321,75.87773906,
Element_30,global_supply_chain,tm_1,Walls,Wall,Generic - 5,Metal Studs with Insulation,Enclosure,0,05 - Metals,Steel,"Steel, C-stud metal framing with insulation",Metal,Cold formed structural steel,[A4] Transportation,60,0.972563136,0.079188935,209.8891195,7.19E-12,32.13686885,3052.233716,2979.195378,73.8071629,
Element_31,global_supply_chain,tm_1,Walls,Wall,Generic - 5,Metal Studs with Insulation,Enclosure,0,05 - Metals,Steel,"Steel, C-stud metal framing with insulation",Insulation,"Cellulose insulation, boards",[A4] Transportation,60,4.917711174,0.400414428,1061.292609,3.64E-11,162.4982823,15433.4493,15064.13503,373.2017966,
Element_32,global_supply_chain,tm_1,Walls,Wall,Generic - 5,Gypsum Wall Board,Enclosure,0,09 - Finishes,Plaster and gypsum board,"Wall board, gypsum",Plaster,"Wall board, gypsum, natural",[A4] Transportation,30,1.036576375,0.08440108,223.7038343,7.66E-12,34.25208891,3253.129019,3175.283361,78.66508458,
Element_33,global_supply_chain,tm_1,Walls,Wall,Generic - 5,Gypsum Wall Board,Enclosure,0,09 - Finishes,Plaster and gypsum board,"Wall board, gypsum",Coating,"Paint, interior acrylic latex",[A4] Transportation,7,0.074372095,0.006055594,16.05026251,5.50E-13,2.457512723,233.4049164,227.8196603,5.644048358,
Element_0,electric_vehicles,tm_1,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal,"Aluminum extrusion, mill-finished, Kawneer - EPD",[A4] Transportation,60,0.092990942,0.007571595,20.06840092,6.88E-13,3.07274417,291.8371855,284.853676,7.057020105,
Element_1,electric_vehicles,tm_1,Curtainwall Mullions,Mullion,Rectangular Mullion: 1 Square,Aluminum,Enclosure,1.302837136,08 - Openings and Glazing,Mullion,"Aluminum mullion, custom finish",Metal Coating,"Powder coating, metal stock",[A4] Transportation,60,0,0,0,0,0,0,0,0,
Element_2,electric_vehicles,tm_1,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,23.79873641,08 - Openings and Glazing,Glass,"Glazing, double pane IGU",Glazing,"Glazing, double, insulated (air)",[A4] Transportation,40,1.192126492,0.097066426,257.273148,8.80E-12,39.3920058,3741.29816,3651.770873,90.4696784,
Element_3,electric_vehicles,tm_1,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[A4] Transportation,60,1.16098597,0.094530874,250.5527033,8.58E-12,38.36301465,3643.568618,3556.379948,88.10644513,
Element_4,electric_vehicles,tm_1,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Metal,"Steel, reinforcing rod",[A4] Transportation,60,0.340980664,0.027763643,73.58713133,2.53E-12,11.26718714,1070.113229,1044.505985,25.87679343,
Element_5,electric_vehicles,tm_1,Floors,Floor,CLT,Wood - Stained,Superstructure,0,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Wood,CLT (Cross laminated timber),[A4] Transportation,60,12.70669388,1.034616181,2742.23512,9.40E-11,419.8733628,39877.92465,38923.66703,964.3024603,
Element_6,electric_vehicles,tm_1,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet",Roofing membrane,"PVC membrane, sheet",[A4] Transportation,20,0.185380709,0.01509424,40.00706203,1.37E-12,6.125623418,581.7876788,567.8658073,14.06841742,
